Stock,PCR,TradeDate
BAJFINANCE,1.159903,2019-11-11
BAJFINANCE,1.117311,2019-11-13
BAJFINANCE,1.217382,2019-11-14
BAJFINANCE,1.169757,2019-11-15
BAJFINANCE,1.133187,2019-11-18
BAJFINANCE,1.180678,2019-11-19
BAJFINANCE,1.128503,2019-11-20
BAJFINANCE,1.182867,2019-11-21
BAJFINANCE,1.120100,2019-11-22
BAJFINANCE,1.212315,2019-11-25
BAJFINANCE,1.104898,2019-11-26
BAJFINANCE,1.181594,2019-11-27
BAJFINANCE,1.206579,2019-11-28
BAJFINANCE,0.857713,2019-11-29
BAJFINANCE,0.884351,2019-12-02
BAJFINANCE,0.876863,2019-12-03
BAJFINANCE,0.920779,2019-12-04
BAJFINANCE,0.940815,2019-12-05
BAJFINANCE,0.876736,2019-12-06
BALKRISIND,0.629107,2019-10-10
BALKRISIND,0.669950,2019-10-11
BALKRISIND,0.704081,2019-10-14
BALKRISIND,0.737967,2019-10-15
BALKRISIND,0.754098,2019-10-16
BALKRISIND,0.769662,2019-10-17
BALKRISIND,0.508928,2019-10-18
BALKRISIND,0.543478,2019-10-22
BALKRISIND,0.556962,2019-10-23
BALKRISIND,0.546925,2019-10-24
BALKRISIND,0.606498,2019-10-25
BALKRISIND,0.673553,2019-10-29
BALKRISIND,0.835443,2019-10-30
BALKRISIND,0.995238,2019-10-31
BALKRISIND,0.526315,2019-11-01
BALKRISIND,0.554744,2019-11-04
BALKRISIND,0.592356,2019-11-05
BALKRISIND,0.595092,2019-11-06
BALKRISIND,0.608695,2019-11-07
BALKRISIND,0.630303,2019-11-08
BALKRISIND,0.558558,2019-11-11
BALKRISIND,0.552742,2019-11-13
BALKRISIND,0.578947,2019-11-14
BALKRISIND,0.675287,2019-11-15
BALKRISIND,0.646198,2019-11-18
BALKRISIND,0.609686,2019-11-19
BALKRISIND,0.591428,2019-11-20
BALKRISIND,0.489304,2019-11-21
BALKRISIND,0.551724,2019-11-22
BALKRISIND,0.627118,2019-11-25
BALKRISIND,0.622023,2019-11-26
BALKRISIND,0.669565,2019-11-27
BALKRISIND,0.745098,2019-11-28
BALKRISIND,0.395348,2019-11-29
BALKRISIND,0.393939,2019-12-02
BALKRISIND,0.394984,2019-12-03
BALKRISIND,0.382978,2019-12-04
BALKRISIND,0.405994,2019-12-05
BALKRISIND,0.392156,2019-12-06
BANKBARODA,0.604101,2019-10-10
BANKBARODA,0.591411,2019-10-11
BANKBARODA,0.568243,2019-10-14
BANKBARODA,0.532180,2019-10-15
BANKBARODA,0.525783,2019-10-16
BANKBARODA,0.544339,2019-10-17
BANKBARODA,0.577573,2019-10-18
BANKBARODA,0.574894,2019-10-22
BANKBARODA,0.610701,2019-10-23
BANKBARODA,0.586087,2019-10-24
BANKBARODA,0.577737,2019-10-25
BANKBARODA,0.633070,2019-10-29
BANKBARODA,0.695252,2019-10-30
BANKBARODA,0.769921,2019-10-31
BANKBARODA,0.687140,2019-11-01
BANKBARODA,0.719129,2019-11-04
BANKBARODA,0.720294,2019-11-05
BANKBARODA,0.674579,2019-11-06
BANKBARODA,0.639663,2019-11-07
BANKBARODA,0.580751,2019-11-08
BANKBARODA,0.648563,2019-11-11
BANKBARODA,0.616967,2019-11-13
BANKBARODA,0.556283,2019-11-14
BANKBARODA,0.537814,2019-11-15
BANKBARODA,0.541790,2019-11-18
BANKBARODA,0.570681,2019-11-19
BANKBARODA,0.607059,2019-11-20
BANKBARODA,0.569890,2019-11-21
BANKBARODA,0.566830,2019-11-22
BANKBARODA,0.590524,2019-11-25
BANKBARODA,0.559038,2019-11-26
BANKBARODA,0.654669,2019-11-27
BANKBARODA,0.867427,2019-11-28
BANKBARODA,0.634016,2019-11-29
BANKBARODA,0.607160,2019-12-02
BANKBARODA,0.558438,2019-12-03
BANKBARODA,0.586564,2019-12-04
BANKBARODA,0.541970,2019-12-05
BANKBARODA,0.485804,2019-12-06
BANKINDIA,0.596309,2019-10-10
BANKINDIA,0.522355,2019-10-11
BANKINDIA,0.501628,2019-10-14
BANKINDIA,0.494142,2019-10-15
BANKINDIA,0.486401,2019-10-16
BANKINDIA,0.518479,2019-10-17
BANKINDIA,0.499493,2019-10-18
BANKINDIA,0.544480,2019-10-22
BANKINDIA,0.549586,2019-10-23
BANKINDIA,0.570329,2019-10-24
